"","E-MTAB-6149","E-MTAB-6653","GSE117570","GSE123902","GSE127465_InDrop","GSE131907","GSE143423","GSE148071_GEXSCOPE","GSE154826","GSE162498","GSE176021"
"B_cell_Germinal_center_B_cells",18,51,8,65,461,69,1,7,236,30,0
"B_cell_Intermediate_monocytes",12,14,32,79,352,21,25,16,14037,744,1
"B_cell_Memory_B_cells",402,367,2,315,869,969,1,67,2958,212,1
"B_cell_Myeloid_dendritic_cells",183,48,239,624,6104,788,27,55,5046,1399,2
"B_cell_Naive_B_cells",594,795,0,1357,2410,3312,0,290,6195,139,3
"B_cell_Non_switched_memory_B_cells",0,0,0,0,0,0,0,0,0,2,0
"B_cell_Plasma_cells",877,702,65,417,1871,1966,33,859,8888,461,4
"B_cell_Plasmacytoid_dendritic_cells",5,6,6,6,35,18,0,7,91,1,0
"B_cell_Switched_memory_B_cells",91,241,1,12,1038,44,0,14,600,20,0
"Endothelial_cells_Intermediate_monocytes",66,50,5,37,430,102,13,1,643,1,0
"Endothelial_cells_Lymphatic_endothelial",77,97,0,16,24,280,0,3,294,0,0
"Endothelial_cells_Myeloid_dendritic_cells",81,41,33,59,65,74,1,15,823,11,0
"Endothelial_cells_Tip_cells",147,86,0,28,61,126,12,114,467,4,0
"Endothelial_cells_Vascular_endothelial",874,1035,30,211,552,1507,164,251,5214,65,1
"Epithelial_cells_Basal_epithelial",14,254,0,15,18,133,0,295,174,3,0
"Epithelial_cells_Classical_monocytes",0,0,0,9,58,79,0,0,1,0,0
"Epithelial_cells_Intermediate_monocytes",1,6,0,3,0,1,0,0,348,0,0
"Epithelial_cells_Luminal_epithelial",4698,963,1226,3049,2741,24703,3422,8120,5594,2312,43
"Epithelial_cells_Myeloid_dendritic_cells",410,204,99,360,2433,1094,113,489,921,434,3
"Epithelial_cells_Secretory_epithelial",465,601,163,1013,1485,6149,6005,3126,6103,487,0
"Fibroblasts_CAFs",18,6,0,11,13,20,0,7,27,0,0
"Fibroblasts_Classical_monocytes",11,16,5,10,36,254,2,5,65,4,0
"Fibroblasts_Intermediate_monocytes",4,5,2,1,3,15,0,0,23,0,0
"Fibroblasts_Myeloid_dendritic_cells",5,4,0,32,404,13,0,401,300,1,0
"Fibroblasts_Myofibroblasts",47,48,2,51,129,235,9,46,286,1,0
"Fibroblasts_Normal_fibroblasts",195,125,1,146,308,1663,25,426,297,4,0
"Myeloid_Classical_monocytes",30,54,17,167,6029,55,3,40,3080,125,0
"Myeloid_Classical_Monocytes",4079,6801,1406,4703,6616,17062,655,3022,67681,6477,5
"Myeloid_Dendritic_cells",368,651,353,1174,696,3421,0,381,6372,204,1
"Myeloid_Intermediate_monocytes",7,17,0,198,2834,10,0,0,20872,1697,0
"Myeloid_Intermediate_Monocytes",270,122,24,418,548,1753,186,937,2944,294,16
"Myeloid_Low_density_basophils",0,0,0,0,177,0,0,0,0,0,0
"Myeloid_Low_density_neutrophils",0,2,0,5,1188,0,0,0,29,1,0
"Myeloid_M1_Macrophages",150,115,194,450,2316,2433,117,624,7324,1132,3
"Myeloid_M2_Macrophages",436,888,219,827,1118,4161,296,121,7430,2856,3
"Myeloid_Myeloid_dendritic_cells",216,405,69,333,528,1288,134,230,3735,1089,0
"Myeloid_Neutrophils",54,48,47,47,1513,196,47,89,956,117,1
"Myeloid_Non_classical_Monocytes",868,1163,557,1355,2237,4362,235,967,11985,1470,11
"Myeloid_Plasmacytoid_DC",186,133,140,188,298,660,137,117,1403,269,0
"Myeloid_Plasmacytoid_dendritic_cells",34,10,0,2,37,65,8,19,130,1,0
"NK_cell_CD56bright_NK",53,42,5,83,124,131,0,4,523,73,13
"NK_cell_CD56dim_NK",114,160,84,363,94,2146,1,11,1218,126,5
"NK_cell_Intermediate_monocytes",1,0,4,3,0,7,0,0,133,562,0
"NK_cell_Low_density_basophils",0,0,0,0,127,0,0,0,0,0,0
"NK_cell_Myeloid_dendritic_cells",36,37,0,137,24,634,0,51,2322,9,0
"NK_cell_Natural_killer_cells",122,69,82,785,3227,369,30,37,5661,1160,10
"NK_cell_NK_cells",1194,1168,1305,3136,696,10207,27,81,11842,1635,255
"NK_cell_Terminal_effector_CD8_T_cells",0,0,0,0,10,0,0,1,0,239,209
"Other",984,1130,89,774,6138,2626,440,834,10042,168,2
"T_cells_CD4_T_cells",1649,1373,757,5627,4808,4538,4,127,16499,11041,7986
"T_cells_CD8_T_cells",2070,880,85,2750,1628,5709,0,44,8568,5827,4243
"T_cells_Effector_memory_CD8_T_cells",28,21,0,17,6,91,3,12,121,333,162
"T_cells_Effector_T_cells",5284,1048,168,2051,358,4279,9,78,8873,4574,5516
"T_cells_Exhausted_T_cells",1330,133,6,722,352,828,0,28,2005,1618,978
"T_cells_gamma_delta_T_cells",525,359,271,900,442,2334,1,31,4018,1135,222
"T_cells_Intermediate_monocytes",0,0,0,0,0,0,0,0,1,315,0
"T_cells_MAIT_cells",1528,849,396,2022,714,7367,1,131,19472,4281,1480
"T_cells_Memory_T_cells",829,989,263,1470,2033,2992,0,72,6386,3966,3425
"T_cells_Myeloid_dendritic_cells",76,36,5,13,3,181,0,3,522,561,0
"T_cells_Natural_killer_cells",86,79,81,979,3544,644,3,26,4875,358,4
"T_cells_Non_Vd2_gd_T_cells",66,0,8,40,1,17,0,1,14,5,0
"T_cells_Plasmacytoid_dendritic_cells",0,0,0,0,4,0,0,0,0,0,0
"T_cells_Regulatory_T_cells",825,671,11,843,865,1758,2,131,3044,5305,2668
"T_cells_Switched_memory_B_cells",5,12,0,24,8,35,0,13,119,10,0
"T_cells_T_regulatory_cells",0,0,0,0,0,0,0,0,0,61,10
"T_cells_Th1_cells",434,126,108,827,206,1102,0,24,3140,1681,577
"T_cells_Th1_Th17_cells",0,0,0,0,0,0,0,0,0,3,149
"T_cells_Th17_cells",16,29,1,41,23,133,2,9,400,252,62
"T_cells_Th2_cells",159,120,41,333,547,1466,0,64,2530,1008,328
